"","Destination","Origin","originLat","originLong","destLat","destLong","midpointX","midpointY","MeanRating","MeanPercent","MaxRating","MaxPercent","MinRating","TotalN"
"174","Lithuania","Peru",-9.189967,-75.015152,55.169438,23.881275,-69.0429894900991,1.08696094505102,3.75,78,3.75,78,3.75,1
"175","Lithuania","Venezuela",6.42375,-66.58973,55.169438,23.881275,-60.5299968208995,15.9188624303408,2.875,72.5,3,75,2.75,2
"176","Netherlands","Ecuador",-1.831239,-78.183406,52.132633,5.291266,-72.6832552334717,7.66036748714464,3.5,70,3.5,70,3.5,1
"177","Netherlands","Nicaragua",12.865416,-85.207229,52.132633,5.291266,-78.8590612094479,21.9964200848518,3.5,70,3.5,70,3.5,1
"178","Netherlands","Tanzania",-6.369028,34.888822,52.132633,5.291266,29.9694289283831,1.31839233999988,3.5,70,3.5,70,3.5,1
"179","Netherlands","Vietnam",14.058324,108.277199,52.132633,5.291266,99.4543486645541,22.928388377918,3.5,70,3.5,70,3.5,1
"180","New Zealand","Dominican Republic",18.735693,-70.162651,-40.900557,174.885971,-57.2221813390645,31.7881173022144,3.375,72.5,3.5,75,3.25,2
"181","New Zealand","Ghana",7.946527,-1.023194,-40.900557,174.885971,10.1122576217229,19.1354760645517,2.5,72,2.5,72,2.5,1
"182","New Zealand","Madagascar",-18.766947,46.869107,-40.900557,174.885971,55.8864090635381,-9.51461043671026,2.75,70,2.75,70,2.75,1
"183","New Zealand","Papua New Guinea",-6.314993,143.95555,-40.900557,174.885971,149.156363987907,-0.800357943534173,3.29166666666667,73,3.75,88,2.75,6
"184","New Zealand","Peru",-9.189967,-75.015152,-40.900557,174.885971,-62.7582962976244,3.47289145849993,3.5,68,3.5,70,3.5,2
"185","New Zealand","Samoa",-13.759029,-172.104629,-40.900557,174.885971,-158.122707223807,0.85505254222431,3.125,85,3.5,100,2.75,2
"186","New Zealand","Solomon Islands",-9.64571,160.156194,-40.900557,174.885971,163.608926715075,-5.33285470005817,3.25,72.5,3.25,75,3.25,2
"187","New Zealand","Venezuela",6.42375,-66.58973,-40.900557,174.885971,-54.0469002907841,19.1783374220219,2.75,72,2.75,72,2.75,1
"188","Nicaragua","Ecuador",-1.831239,-78.183406,12.865416,-85.207229,-80.5700188794838,2.35861705660732,3.25,80,3.25,80,3.25,1
"189","Poland","Colombia",4.570868,-74.297333,51.919438,19.145136,-68.0446561978994,14.0978058074143,3.5,85,3.5,85,3.5,1
"190","Poland","Dominican Republic",18.735693,-70.162651,51.919438,19.145136,-63.7119013231237,27.5847716928789,3.25,70,3.25,70,3.25,1
"191","Poland","Ecuador",-1.831239,-78.183406,51.919438,19.145136,-71.9396596027292,8.03709129393858,3.25,70,3.25,70,3.25,1
"192","Poland","Ghana",7.946527,-1.023194,51.919438,19.145136,-0.333893664078329,14.8940235801128,3.5,70,3.5,70,3.5,1
"193","Poland","Nicaragua",12.865416,-85.207229,51.919438,19.145136,-78.2405036203626,22.3911414662908,3.75,70,3.75,70,3.75,1
